country,continent
ad,EU
ae,AS
af,AS
ag,NA
ai,NA
al,EU
am,AS
an,NA
ao,AF
ap,AS
aq,AN
ar,SA
as,OC
at,EU
au,OC
aw,NA
ax,EU
az,AS
ba,EU
bb,NA
bd,AS
be,EU
bf,AF
bg,EU
bh,AS
bi,AF
bj,AF
bl,NA
bm,NA
bn,AS
bo,SA
br,SA
bs,NA
bt,AS
bv,AN
bw,AF
by,EU
bz,NA
ca,NA
cc,AS
cd,AF
cf,AF
cg,AF
ch,EU
ci,AF
ck,OC
cl,SA
cm,AF
cn,AS
co,SA
cr,NA
cu,NA
cv,AF
cx,AS
cy,AS
cz,EU
de,EU
dj,AF
dk,EU
dm,NA
do,NA
dz,AF
ec,SA
ee,EU
eg,AF
eh,AF
er,AF
es,EU
et,AF
eu,EU
fi,EU
fj,OC
fk,SA
fm,OC
fo,EU
fr,EU
fx,EU
ga,AF
gb,EU
gd,NA
ge,AS
gf,SA
gg,EU
gh,AF
gi,EU
gl,NA
gm,AF
gn,AF
gp,NA
gq,AF
gr,EU
gs,AN
gt,NA
gu,OC
gw,AF
gy,SA
hk,AS
hm,AN
hn,NA
hr,EU
ht,NA
hu,EU
id,AS
ie,EU
il,AS
im,EU
in,AS
io,AS
iq,AS
ir,AS
is,EU
it,EU
je,EU
jm,NA
jo,AS
jp,AS
ke,AF
kg,AS
kh,AS
ki,OC
km,AF
kn,NA
kp,AS
kr,AS
kw,AS
ky,NA
kz,AS
la,AS
lb,AS
lc,NA
li,EU
lk,AS
lr,AF
ls,AF
lt,EU
lu,EU
lv,EU
ly,AF
ma,AF
mc,EU
md,EU
me,EU
mf,NA
mg,AF
mh,OC
mk,EU
ml,AF
mm,AS
mn,AS
mo,AS
mp,OC
mq,NA
mr,AF
ms,NA
mt,EU
mu,AF
mv,AS
mw,AF
mx,NA
my,AS
mz,AF
na,AF
nc,OC
ne,AF
nf,OC
ng,AF
ni,NA
nl,EU
no,EU
np,AS
nr,OC
nu,OC
nz,OC
o1,--
om,AS
pa,NA
pe,SA
pf,OC
pg,OC
ph,AS
pk,AS
pl,EU
pm,NA
pn,OC
pr,NA
ps,AS
pt,EU
pw,OC
py,SA
qa,AS
re,AF
ro,EU
rs,EU
ru,EU
rw,AF
sa,AS
sb,OC
sc,AF
sd,AF
se,EU
sg,AS
sh,AF
si,EU
sj,EU
sk,EU
sl,AF
sm,EU
sn,AF
so,AF
sr,SA
st,AF
sv,NA
sy,AS
sz,AF
tc,NA
td,AF
tf,AN
tg,AF
th,AS
tj,AS
tk,OC
tl,AS
tm,AS
tn,AF
to,OC
tr,EU
tt,NA
tv,OC
tw,AS
tz,AF
ua,EU
ug,AF
um,OC
us,NA
uy,SA
uz,AS
va,EU
vc,NA
ve,SA
vg,NA
vi,NA
vn,AS
vu,OC
wf,OC
ws,OC
ye,AS
yt,AF
za,AF
zm,AF
zw,AF
